NAMESPACE         NAME                                                        CPU(cores)   MEMORY(bytes)   
headlamp          headlamp-9f5b76c67-c27rw                                    2m           14Mi            
kube-system       coredns-5f5694d56b-94grj                                    10m          20Mi            
kube-system       kube-vip-ds-htgtf                                           5m           12Mi            
kube-system       kube-vip-ds-kzhcr                                           2m           9Mi             
kube-system       kube-vip-ds-rj777                                           2m           9Mi             
kube-system       local-path-provisioner-58d557dc48-4k9bb                     1m           8Mi             
kube-system       metrics-server-7c86f97b8d-ctzq2                             20m          36Mi            
kube-system       traefik-7bb58f696c-n9rd9                                    1m           26Mi            
kubecost          kubecost-aggregator-0                                       98m          913Mi           
kubecost          kubecost-finopsagent-576777b756-d5f6p                       1m           93Mi            
kubecost          kubecost-frontend-67589b6bd4-ktdnf                          1m           5Mi             
kubecost          kubecost-local-store-7bdf4dbdc9-2nrpz                       1m           55Mi            
kubecost          kubecost-network-costs-27rhx                                12m          4Mi             
kubecost          kubecost-network-costs-2jsr4                                6m           5Mi             
kubecost          kubecost-network-costs-2rb66                                11m          4Mi             
kubecost          kubecost-network-costs-dqc6d                                4m           5Mi             
kubecost          kubecost-network-costs-p52zt                                10m          4Mi             
kubecost          kubecost-network-costs-s2l8g                                12m          4Mi             
kubecost          kubecost-network-costs-sdsph                                18m          4Mi             
longhorn-system   csi-attacher-774cf76ffd-89qpr                               1m           11Mi            
longhorn-system   csi-attacher-774cf76ffd-njvhs                               1m           11Mi            
longhorn-system   csi-attacher-774cf76ffd-p65qg                               1m           13Mi            
longhorn-system   csi-provisioner-76b8b7bf5f-278q7                            2m           10Mi            
longhorn-system   csi-provisioner-76b8b7bf5f-sgxht                            3m           14Mi            
longhorn-system   csi-provisioner-76b8b7bf5f-zlh5r                            2m           10Mi            
longhorn-system   csi-resizer-55b9478cbf-hb6qd                                1m           12Mi            
longhorn-system   csi-resizer-55b9478cbf-v4zc6                                1m           11Mi            
longhorn-system   csi-resizer-55b9478cbf-xjd92                                1m           11Mi            
longhorn-system   csi-snapshotter-548b956b8d-npw5z                            1m           11Mi            
longhorn-system   csi-snapshotter-548b956b8d-q8snn                            2m           11Mi            
longhorn-system   csi-snapshotter-548b956b8d-txr7n                            3m           12Mi            
longhorn-system   engine-image-ei-a4d05f02-dw4hh                              4m           2Mi             
longhorn-system   engine-image-ei-a4d05f02-hfdhh                              5m           2Mi             
longhorn-system   instance-manager-e0a6c083b4724bc8067a518b7681d760           27m          176Mi           
longhorn-system   instance-manager-ff7adb783bc4d791d47b91a2368e0025           11m          123Mi           
longhorn-system   longhorn-csi-plugin-mt8ql                                   2m           28Mi            
longhorn-system   longhorn-csi-plugin-zgwv4                                   2m           28Mi            
longhorn-system   longhorn-driver-deployer-5c97745795-vb8fv                   1m           10Mi            
longhorn-system   longhorn-manager-4zzlr                                      8m           104Mi           
longhorn-system   longhorn-manager-l45k8                                      12m          120Mi           
longhorn-system   longhorn-ui-5b55bff454-7fxkj                                0m           2Mi             
longhorn-system   longhorn-ui-5b55bff454-cfgst                                0m           2Mi             
metallb-system    metallb-controller-bc9cbb54b-vk7xs                          4m           33Mi            
metallb-system    metallb-frr-k8s-66vwc                                       5m           73Mi            
metallb-system    metallb-frr-k8s-7k9hg                                       20m          78Mi            
metallb-system    metallb-frr-k8s-8rjmm                                       13m          159Mi           
metallb-system    metallb-frr-k8s-n2qfj                                       3m           70Mi            
metallb-system    metallb-frr-k8s-nttwr                                       14m          86Mi            
metallb-system    metallb-frr-k8s-qfhds                                       21m          104Mi           
metallb-system    metallb-frr-k8s-ssvg9                                       23m          140Mi           
metallb-system    metallb-frr-k8s-statuscleaner-75b695f48d-xkrmt              8m           15Mi            
metallb-system    metallb-speaker-28brk                                       15m          25Mi            
metallb-system    metallb-speaker-42cwv                                       13m          25Mi            
metallb-system    metallb-speaker-cwnvf                                       14m          60Mi            
metallb-system    metallb-speaker-lfqsk                                       4m           27Mi            
metallb-system    metallb-speaker-vmlhf                                       15m          49Mi            
metallb-system    metallb-speaker-zkkb7                                       7m           26Mi            
metallb-system    metallb-speaker-zthcp                                       14m          25Mi            
minio             minio-0                                                     7m           281Mi           
minio             minio-1                                                     4m           278Mi           
minio             minio-2                                                     11m          259Mi           
minio             minio-3                                                     5m           288Mi           
minio             minio-4                                                     7m           280Mi           
observability     alertmanager-kube-prometheus-stack-alertmanager-0           3m           32Mi            
observability     kube-prometheus-stack-grafana-784b55fb5-f4xg5               9m           345Mi           
observability     kube-prometheus-stack-kube-state-metrics-6f664bc8c4-mwgz6   2m           26Mi            
observability     kube-prometheus-stack-operator-7d8df54f74-67hv4             3m           25Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-c7qs4        1m           10Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-hsxpx        2m           11Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-pln7m        1m           10Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-t78zj        5m           17Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-tqcjk        7m           10Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-vgmjn        1m           10Mi            
observability     kube-prometheus-stack-prometheus-node-exporter-xhzjs        1m           10Mi            
observability     prometheus-kube-prometheus-stack-prometheus-0               377m         1526Mi          
storage           nfs-hdd-nfs-subdir-external-provisioner-9867bfc66-ttz9t     4m           10Mi            
storage           nfs-ssd-nfs-subdir-external-provisioner-57468b97c8-b79d5    4m           10Mi            
