NAMESPACE         NAME                                                        READY   STATUS      RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
headlamp          headlamp-9f5b76c67-c27rw                                    1/1     Running     0               11d     10.42.1.4      arm64-02   <none>           <none>
kube-system       coredns-5f5694d56b-94grj                                    1/1     Running     0               12d     10.42.0.4      arm64-01   <none>           <none>
kube-system       helm-install-traefik-5658w                                  0/1     Completed   0               4d21h   10.42.4.24     amd64-01   <none>           <none>
kube-system       helm-install-traefik-crd-bcqtp                              0/1     Completed   0               12d     <none>         arm64-01   <none>           <none>
kube-system       kube-vip-ds-htgtf                                           1/1     Running     0               9d      192.168.2.51   arm64-01   <none>           <none>
kube-system       kube-vip-ds-kzhcr                                           1/1     Running     0               9d      192.168.2.53   arm64-03   <none>           <none>
kube-system       kube-vip-ds-rj777                                           1/1     Running     0               9d      192.168.2.52   arm64-02   <none>           <none>
kube-system       local-path-provisioner-58d557dc48-4k9bb                     1/1     Running     0               12d     10.42.0.6      arm64-01   <none>           <none>
kube-system       metrics-server-7c86f97b8d-ctzq2                             1/1     Running     0               12d     10.42.0.5      arm64-01   <none>           <none>
kube-system       traefik-7bb58f696c-n9rd9                                    1/1     Running     0               4d21h   10.42.4.25     amd64-01   <none>           <none>
kubecost          kubecost-aggregator-0                                       1/1     Running     0               21h     10.42.6.24     amd64-02   <none>           <none>
kubecost          kubecost-finopsagent-576777b756-d5f6p                       1/1     Running     0               21h     10.42.6.23     amd64-02   <none>           <none>
kubecost          kubecost-frontend-67589b6bd4-ktdnf                          1/1     Running     0               21h     10.42.6.22     amd64-02   <none>           <none>
kubecost          kubecost-local-store-7bdf4dbdc9-2nrpz                       1/1     Running     0               21h     10.42.6.25     amd64-02   <none>           <none>
kubecost          kubecost-network-costs-27rhx                                1/1     Running     0               4h51m   192.168.2.54   arm64-04   <none>           <none>
kubecost          kubecost-network-costs-2jsr4                                1/1     Running     0               4h50m   192.168.2.61   amd64-01   <none>           <none>
kubecost          kubecost-network-costs-2rb66                                1/1     Running     0               4h52m   192.168.2.55   arm64-05   <none>           <none>
kubecost          kubecost-network-costs-dqc6d                                1/1     Running     0               4h51m   192.168.2.62   amd64-02   <none>           <none>
kubecost          kubecost-network-costs-p52zt                                1/1     Running     0               4h49m   192.168.2.52   arm64-02   <none>           <none>
kubecost          kubecost-network-costs-s2l8g                                1/1     Running     0               4h52m   192.168.2.53   arm64-03   <none>           <none>
kubecost          kubecost-network-costs-sdsph                                1/1     Running     0               4h50m   192.168.2.51   arm64-01   <none>           <none>
longhorn-system   csi-attacher-774cf76ffd-89qpr                               1/1     Running     0               5d23h   10.42.4.12     amd64-01   <none>           <none>
longhorn-system   csi-attacher-774cf76ffd-njvhs                               1/1     Running     0               5d23h   10.42.4.8      amd64-01   <none>           <none>
longhorn-system   csi-attacher-774cf76ffd-p65qg                               1/1     Running     0               5d23h   10.42.4.15     amd64-01   <none>           <none>
longhorn-system   csi-provisioner-76b8b7bf5f-278q7                            1/1     Running     0               5d23h   10.42.4.16     amd64-01   <none>           <none>
longhorn-system   csi-provisioner-76b8b7bf5f-sgxht                            1/1     Running     0               5d23h   10.42.4.9      amd64-01   <none>           <none>
longhorn-system   csi-provisioner-76b8b7bf5f-zlh5r                            1/1     Running     0               5d23h   10.42.4.20     amd64-01   <none>           <none>
longhorn-system   csi-resizer-55b9478cbf-hb6qd                                1/1     Running     0               5d23h   10.42.4.13     amd64-01   <none>           <none>
longhorn-system   csi-resizer-55b9478cbf-v4zc6                                1/1     Running     0               5d23h   10.42.4.10     amd64-01   <none>           <none>
longhorn-system   csi-resizer-55b9478cbf-xjd92                                1/1     Running     0               5d23h   10.42.4.18     amd64-01   <none>           <none>
longhorn-system   csi-snapshotter-548b956b8d-npw5z                            1/1     Running     0               5d23h   10.42.4.14     amd64-01   <none>           <none>
longhorn-system   csi-snapshotter-548b956b8d-q8snn                            1/1     Running     0               5d23h   10.42.4.19     amd64-01   <none>           <none>
longhorn-system   csi-snapshotter-548b956b8d-txr7n                            1/1     Running     0               5d23h   10.42.4.11     amd64-01   <none>           <none>
longhorn-system   engine-image-ei-a4d05f02-dw4hh                              1/1     Running     0               5d23h   10.42.4.7      amd64-01   <none>           <none>
longhorn-system   engine-image-ei-a4d05f02-hfdhh                              1/1     Running     0               4d4h    10.42.6.3      amd64-02   <none>           <none>
longhorn-system   instance-manager-e0a6c083b4724bc8067a518b7681d760           1/1     Running     0               4d4h    10.42.6.5      amd64-02   <none>           <none>
longhorn-system   instance-manager-ff7adb783bc4d791d47b91a2368e0025           1/1     Running     0               5d23h   10.42.4.6      amd64-01   <none>           <none>
longhorn-system   longhorn-csi-plugin-mt8ql                                   3/3     Running     0               5d23h   10.42.4.17     amd64-01   <none>           <none>
longhorn-system   longhorn-csi-plugin-zgwv4                                   3/3     Running     0               4d4h    10.42.6.4      amd64-02   <none>           <none>
longhorn-system   longhorn-driver-deployer-5c97745795-vb8fv                   1/1     Running     0               5d23h   10.42.4.3      amd64-01   <none>           <none>
longhorn-system   longhorn-manager-4zzlr                                      2/2     Running     2 (5d23h ago)   5d23h   10.42.4.2      amd64-01   <none>           <none>
longhorn-system   longhorn-manager-l45k8                                      2/2     Running     1 (4d4h ago)    4d4h    10.42.6.2      amd64-02   <none>           <none>
longhorn-system   longhorn-ui-5b55bff454-7fxkj                                1/1     Running     0               5d23h   10.42.4.5      amd64-01   <none>           <none>
longhorn-system   longhorn-ui-5b55bff454-cfgst                                1/1     Running     0               5d23h   10.42.4.4      amd64-01   <none>           <none>
metallb-system    metallb-controller-bc9cbb54b-vk7xs                          1/1     Running     0               11d     10.42.2.2      arm64-03   <none>           <none>
metallb-system    metallb-frr-k8s-66vwc                                       5/5     Running     0               5d23h   192.168.2.61   amd64-01   <none>           <none>
metallb-system    metallb-frr-k8s-7k9hg                                       5/5     Running     0               11d     192.168.2.54   arm64-04   <none>           <none>
metallb-system    metallb-frr-k8s-8rjmm                                       5/5     Running     0               11d     192.168.2.52   arm64-02   <none>           <none>
