NAMESPACE       NAME                                                                                                                         STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   VOLUMEATTRIBUTESCLASS   AGE    VOLUMEMODE
kubecost        persistentvolumeclaim/aggregator-db-storage-kubecost-aggregator-0                                                            Bound    pvc-6730352f-5b00-464e-9b2a-feca9a0e918e   128Gi      RWO            longhorn       <unset>                 4d2h   Filesystem
kubecost        persistentvolumeclaim/kubecost-local-store                                                                                   Bound    pvc-f635bc5b-c95e-4a63-ae4a-a8c406963b88   32Gi       RWO            longhorn       <unset>                 4d2h   Filesystem
kubecost        persistentvolumeclaim/persistent-configs-kubecost-aggregator-0                                                               Bound    pvc-cd68dcf6-f961-4d93-afd3-94e64035a274   1Gi        RWO            longhorn       <unset>                 4d2h   Filesystem
minio           persistentvolumeclaim/data-minio-0                                                                                           Bound    minio-arm64-03                             900Gi      RWO            minio-local    <unset>                 8d     Filesystem
minio           persistentvolumeclaim/data-minio-1                                                                                           Bound    minio-arm64-05                             900Gi      RWO            minio-local    <unset>                 8d     Filesystem
minio           persistentvolumeclaim/data-minio-2                                                                                           Bound    minio-arm64-04                             900Gi      RWO            minio-local    <unset>                 8d     Filesystem
minio           persistentvolumeclaim/data-minio-3                                                                                           Bound    minio-arm64-02                             900Gi      RWO            minio-local    <unset>                 8d     Filesystem
minio           persistentvolumeclaim/data-minio-4                                                                                           Bound    minio-arm64-01                             900Gi      RWO            minio-local    <unset>                 8d     Filesystem
observability   persistentvolumeclaim/alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0   Bound    pvc-4fcd51bb-709d-4ed7-ac7f-5db90b30e5ca   5Gi        RWO            nfs-ssd        <unset>                 9d     Filesystem
observability   persistentvolumeclaim/kube-prometheus-stack-grafana                                                                          Bound    pvc-73501baa-6b63-4a5c-8525-9985aca06046   10Gi       RWO            nfs-ssd        <unset>                 9d     Filesystem
observability   persistentvolumeclaim/prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0           Bound    pvc-591b574a-9cfb-4721-8ba3-75185c6bf94e   40Gi       RWO            nfs-ssd        <unset>                 9d     Filesystem

NAMESPACE   NAME                                                        CAPACITY   ACCESS MODES   RECLAIM POLICY   STATUS     CLAIM                                                                                                                STORAGECLASS   VOLUMEATTRIBUTESCLASS   REASON   AGE    VOLUMEMODE
            persistentvolume/minio-arm64-01                             900Gi      RWO            Retain           Bound      minio/data-minio-4                                                                                                   minio-local    <unset>                          8d     Filesystem
            persistentvolume/minio-arm64-02                             900Gi      RWO            Retain           Bound      minio/data-minio-3                                                                                                   minio-local    <unset>                          8d     Filesystem
            persistentvolume/minio-arm64-03                             900Gi      RWO            Retain           Bound      minio/data-minio-0                                                                                                   minio-local    <unset>                          8d     Filesystem
            persistentvolume/minio-arm64-04                             900Gi      RWO            Retain           Bound      minio/data-minio-2                                                                                                   minio-local    <unset>                          8d     Filesystem
            persistentvolume/minio-arm64-05                             900Gi      RWO            Retain           Bound      minio/data-minio-1                                                                                                   minio-local    <unset>                          8d     Filesystem
            persistentvolume/pvc-148f0348-078b-4938-912e-4af4e4deec02   1Gi        RWO            Retain           Released   kubecost/kubecost-cloud-cost-persistent-configs                                                                      nfs-ssd        <unset>                          8d     Filesystem
            persistentvolume/pvc-4fcd51bb-709d-4ed7-ac7f-5db90b30e5ca   5Gi        RWO            Retain           Bound      observability/alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0   nfs-ssd        <unset>                          9d     Filesystem
            persistentvolume/pvc-591b574a-9cfb-4721-8ba3-75185c6bf94e   40Gi       RWO            Retain           Bound      observability/prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0           nfs-ssd        <unset>                          9d     Filesystem
            persistentvolume/pvc-6730352f-5b00-464e-9b2a-feca9a0e918e   128Gi      RWO            Retain           Bound      kubecost/aggregator-db-storage-kubecost-aggregator-0                                                                 longhorn       <unset>                          4d2h   Filesystem
            persistentvolume/pvc-73501baa-6b63-4a5c-8525-9985aca06046   10Gi       RWO            Retain           Bound      observability/kube-prometheus-stack-grafana                                                                          nfs-ssd        <unset>                          9d     Filesystem
            persistentvolume/pvc-c8b96231-5635-4094-bfd6-924e708b4433   1Gi        RWO            Retain           Released   kubecost/persistent-configs-kubecost-aggregator-0                                                                    nfs-ssd        <unset>                          8d     Filesystem
            persistentvolume/pvc-cd68dcf6-f961-4d93-afd3-94e64035a274   1Gi        RWO            Retain           Bound      kubecost/persistent-configs-kubecost-aggregator-0                                                                    longhorn       <unset>                          4d2h   Filesystem
            persistentvolume/pvc-ce559fa5-8513-4cf2-8d7f-245e510f7268   128Gi      RWO            Retain           Released   kubecost/aggregator-db-storage-kubecost-aggregator-0                                                                 nfs-ssd        <unset>                          8d     Filesystem
            persistentvolume/pvc-f635bc5b-c95e-4a63-ae4a-a8c406963b88   32Gi       RWO            Retain           Bound      kubecost/kubecost-local-store                                                                                        longhorn       <unset>                          4d2h   Filesystem
            persistentvolume/pvc-fab1318c-7756-4cd1-9457-9c12fb83563b   10Gi       RWO            Retain           Released   kubecost/kubecost-local-store                                                                                        nfs-ssd        <unset>                          8d     Filesystem
